Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,8/21/2022,,
Jagung Pipil Kering,8/22/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/23/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/24/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/25/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/26/2022," Rp3,700.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/27/2022,,
Jagung Pipil Kering,8/28/2022,,
Jagung Pipil Kering,8/29/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/30/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,8/31/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/1/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/2/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/3/2022,,
Jagung Pipil Kering,9/4/2022,,
Jagung Pipil Kering,9/5/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/6/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/7/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/8/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/9/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/10/2022,,
Jagung Pipil Kering,9/11/2022,,
Jagung Pipil Kering,9/12/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/13/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/14/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/15/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/16/2022," Rp3,800.00 "," Rp3,900.00 "
Jagung Pipil Kering,9/17/2022,,
Jagung Pipil Kering,9/18/2022,,
Jagung Pipil Kering,9/19/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/20/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/21/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/22/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/23/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/24/2022,,
Jagung Pipil Kering,9/25/2022,,
Jagung Pipil Kering,9/26/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/27/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/28/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/29/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,9/30/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/1/2022,,
Jagung Pipil Kering,10/2/2022,,
Jagung Pipil Kering,10/3/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/4/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/5/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/6/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/7/2022," Rp3,800.00 "," Rp3,950.00 "
Jagung Pipil Kering,10/8/2022,,
Jagung Pipil Kering,10/9/2022,,
